frequency=10000
wave0	Time
1.436064	0.146134
1.436064	0.146136
1.436064	0.146139
1.431040	0.146141
1.431040	0.146144
1.431040	0.146147
1.426016	0.146149
1.431040	0.146152
1.431040	0.146155
1.436064	0.146157
1.431040	0.146160
1.436064	0.146163
1.431040	0.146165
1.436064	0.146168
1.431040	0.146171
1.431040	0.146174
1.431040	0.146176
1.436064	0.146179
1.431040	0.146181
1.441088	0.146184
1.431040	0.146187
1.441088	0.146189
1.436064	0.146192
1.436064	0.146195
1.431040	0.146197
1.431040	0.146200
1.436064	0.146203
1.431040	0.146205
1.436064	0.146208
1.431040	0.146211
1.426016	0.146213
1.431040	0.146216
1.436064	0.146219
1.431040	0.146221
1.436064	0.146224
1.426016	0.146227
1.436064	0.146229
1.431040	0.146232
1.436064	0.146235
1.426016	0.146237
1.431040	0.146240
1.431040	0.146243
1.436064	0.146245
1.436064	0.146248
1.431040	0.146250
1.431040	0.146253
1.431040	0.146256
1.431040	0.146258
1.436064	0.146261
1.431040	0.146264
1.431040	0.146266
1.431040	0.146269
1.426016	0.146272
1.426016	0.146274
1.426016	0.146277
1.431040	0.146279
1.431040	0.146282
1.436064	0.146285
1.436064	0.146288
1.436064	0.146290
1.431040	0.146293
1.426016	0.146296
1.436064	0.146298
1.436064	0.146301
1.431040	0.146304
1.431040	0.146306
1.431040	0.146309
1.431040	0.146311
1.431040	0.146314
1.431040	0.146317
1.426016	0.146319
1.436064	0.146322
1.431040	0.146325
1.431040	0.146328
1.431040	0.146330
1.431040	0.146333
1.431040	0.146335
1.431040	0.146338
1.436064	0.146341
1.436064	0.146344
1.436064	0.146346
1.431040	0.146349
1.436064	0.146352
1.431040	0.146354
1.436064	0.146357
1.426016	0.146359
1.431040	0.146362
1.420992	0.146365
1.431040	0.146367
1.431040	0.146370
1.436064	0.146373
1.436064	0.146375
1.431040	0.146378
1.426016	0.146381
1.436064	0.146383
1.431040	0.146386
1.431040	0.146389
1.431040	0.146391
1.431040	0.146394
1.431040	0.146397
1.431040	0.146399
1.436064	0.146402
1.431040	0.146405
1.436064	0.146407
1.436064	0.146410
1.436064	0.146413
1.436064	0.146415
1.436064	0.146418
1.436064	0.146421
1.441088	0.146423
1.436064	0.146426
1.431040	0.146429
1.431040	0.146431
1.431040	0.146434
1.436064	0.146437
1.436064	0.146439
1.436064	0.146442
1.431040	0.146445
1.426016	0.146447
1.426016	0.146450
1.426016	0.146452
1.431040	0.146455
1.420992	0.146458
1.426016	0.146460
1.426016	0.146463
1.431040	0.146466
1.431040	0.146468
1.426016	0.146471
1.436064	0.146474
1.431040	0.146476
1.436064	0.146479
1.431040	0.146482
1.436064	0.146484
1.436064	0.146487
1.436064	0.146490
1.431040	0.146492
1.431040	0.146495
1.436064	0.146498
1.431040	0.146511
1.436064	0.146514
1.436064	0.146517
1.426016	0.146520
1.431040	0.146523
1.431040	0.146526
1.431040	0.146528
1.431040	0.146531
1.431040	0.146534
1.431040	0.146536
1.431040	0.146539
1.431040	0.146542
1.436064	0.146545
1.436064	0.146547
1.436064	0.146550
1.436064	0.146553
1.431040	0.146555
1.431040	0.146558
1.431040	0.146561
1.436064	0.146564
1.436064	0.146566
1.436064	0.146569
1.426016	0.146572
1.431040	0.146574
1.431040	0.146577
1.431040	0.146580
1.431040	0.146583
1.426016	0.146585
1.436064	0.146588
1.436064	0.146591
1.436064	0.146593
1.431040	0.146596
1.436064	0.146599
1.436064	0.146601
1.436064	0.146604
1.431040	0.146607
1.431040	0.146609
1.436064	0.146612
1.431040	0.146615
1.436064	0.146617
1.431040	0.146620
1.436064	0.146623
1.436064	0.146625
1.431040	0.146628
1.420992	0.146631
1.431040	0.146633
1.431040	0.146636
1.426016	0.146639
1.436064	0.146641
1.431040	0.146644
1.436064	0.146646
1.436064	0.146649
1.436064	0.146652
1.426016	0.146655
1.431040	0.146657
1.431040	0.146660
1.431040	0.146663
1.436064	0.146665
1.436064	0.146668
1.431040	0.146671
1.436064	0.146673
1.436064	0.146676
1.426016	0.146679
1.431040	0.146681
1.436064	0.146684
1.431040	0.146687
1.431040	0.146689
1.436064	0.146692
1.436064	0.146695
1.431040	0.146697
1.431040	0.146700
1.436064	0.146703
1.436064	0.146705
1.436064	0.146708
1.431040	0.146711
1.431040	0.146713
1.441088	0.146716
1.436064	0.146719
1.431040	0.146721
1.431040	0.146724
1.431040	0.146727
1.436064	0.146729
1.436064	0.146732
1.431040	0.146735
1.436064	0.146738
1.436064	0.146740
1.431040	0.146743
1.436064	0.146746
1.431040	0.146748
1.436064	0.146751
1.436064	0.146754
1.431040	0.146756
1.426016	0.146759
1.431040	0.146762
1.436064	0.146764
1.426016	0.146767
1.426016	0.146770
1.431040	0.146772
1.426016	0.146775
1.436064	0.146778
1.431040	0.146780
1.431040	0.146783
1.431040	0.146786
1.436064	0.146788
1.436064	0.146791
1.436064	0.146794
1.436064	0.146796
1.431040	0.146799
1.436064	0.146802
1.431040	0.146804
1.431040	0.146807
1.431040	0.146810
1.431040	0.146812
1.431040	0.146815
1.426016	0.146817
1.426016	0.146820
1.431040	0.146823
1.431040	0.146826
1.426016	0.146828
1.431040	0.146831
1.436064	0.146833
1.426016	0.146836
1.426016	0.146839
1.436064	0.146841
1.436064	0.146844
1.426016	0.146847
1.436064	0.146849
1.431040	0.146852
1.431040	0.146855
1.431040	0.146857
1.436064	0.146860
1.431040	0.146862
1.436064	0.146865
1.436064	0.146868
1.431040	0.146870
1.431040	0.146873
1.436064	0.146876
1.431040	0.146878
1.436064	0.146881
1.426016	0.146884
1.431040	0.146886
1.431040	0.146889
1.431040	0.146892
1.426016	0.146894
1.431040	0.146897
1.431040	0.146900
1.431040	0.146902
1.431040	0.146905
1.436064	0.146908
1.431040	0.146910
1.431040	0.146913
1.436064	0.146916
1.426016	0.146918
1.431040	0.146953
1.431040	0.146968
1.436064	0.146975
1.426016	0.146981
1.431040	0.146987
1.436064	0.146994
1.436064	0.147000
1.431040	0.147007
1.426016	0.147013
1.431040	0.147019
1.431040	0.147026
1.431040	0.147032
1.420992	0.147039
1.431040	0.147045
1.431040	0.147051
1.431040	0.147057
1.436064	0.147064
1.436064	0.147070
1.431040	0.147076
1.420992	0.147083
1.441088	0.147089
1.426016	0.147096
1.436064	0.147102
1.431040	0.147108
1.420992	0.147114
1.431040	0.147120
1.436064	0.147126
1.426016	0.147142
1.431040	0.147149
1.431040	0.147155
1.436064	0.147162
1.436064	0.147168
1.431040	0.147184
1.431040	0.147188
1.426016	0.147191
1.426016	0.147194
1.431040	0.147198
1.431040	0.147202
1.436064	0.147205
1.436064	0.147208
1.431040	0.147212
1.426016	0.147215
1.436064	0.147219
1.436064	0.147222
1.420992	0.147226
1.431040	0.147229
1.436064	0.147233
